,he,en,ru,keys
0,לקבל,Accept,Принять,Accept
1,פעיל,Active,Активные,ActiveEvents
2,מקום אידיאלי לארגון חגים,An ideal venue for organizing holidays,Идеальная площадка для организации праздников,An ideal venue for organizing holidays
3,בחזרה לרשימה,Back to list,Назад к списку,Back to list
4,בחר תמונה,Choose an image,ВЫберите изображение,Choose an image
5,ניהול אירועים,Event Management,Управление мероприятиями,EventManagement
6,FAQ,FAQ,FAQ,FAQ
7,הושלם,Finished,Завершенные,FinishedEvents
8,חברים,Members,Участники,Members
9,פרטים נוספים,More details,Подробнее,More details
10,עלוני חדשות,Newsletters,Рассылки,Newsletters
11,ארגן אירועים,Organize events,Организовывай мероприятия,OrganizeEvents
12,דחה,Reject,Отклонить,Reject
13,כרטיסים ששולמו בהצלחה!,Tickets successfully purchased!,Билеты успешно оплачены!,TicketsSuccessfullyPurchased
14,אנחנו קרובים מכפי שנראה,We are closer than it seems,Мы всё ближе чем кажется,WeAreCloserThanItSeems
15,אורחים בברכה,Welcome guests,Принимай гостей,WelcomeGuests
16,על עצמי,About me,О себе,aboutMe
17,עלינו,About us,О нас,aboutUs
18,את כל,All,Все,all
19,כל האירועים,All events,Все события,allEvents
20,אימות,Auth,Аутентификация,auth
21,חזור,Back,Назад,back
22,חזרה לאירוע,Back to event,Назад к событию,backToEvent
23,חזרה לעיקרית,Back to main,Назад на главной,backToMain
24,קישור שידור,Broadcast Link,Ссылка на трансляцию,bl
25,קנה,Buy,Купить,buy
26,לקנות כרטיסים,Buy a tickets,Купить билеты,buyTicket
27,בטל,Cancel,Отмена,cancel
28,קטגוריות,Categories,Категории,categories
29,קטגוריה,Category,Категория,category
30,בודק את זמינות הכרטיסים ...,Checking the availability of tickets...,Проверяем наличие билетов...,checkingTicketsExist
31,בחר תאריך,Choose a date,Выберите дату,chooseDate
32,בחר מחיר,Choose a price,Выберите цену,choosePrice
33,בחר זמן,Choose a time,Выберите время,chooseTime
34,בחר קובץ להעלאה.,Select file to upload,Выберите файл для загрузки,choseFile
35,בחר קבצים להעלאה,Select files to upload,Выберите файлы для загрузки,choseFiles
36,החברה,Company,Компания,company
37,מדיניות,Policy,Политика,conditions
38,סודיות,Сonfidentiality,Конфиденциальность,confidencials
39,איש קשר,Contact,Связаться,contactWithOwner
40,אנשי קשר,Contacts,Контакты,contacts
41,ניהול אירועים,Events Control,Управление мероприятиями,controlEvents
42,צור,Create,Создать,create
43,צור אירוע,Create event,Создать событие,createEvent
44,שקל,USD,руб,currency
45,מטבע (אם שילם),Currency (if paid),Валюта (если платно),currencyIfPaid
46,מטבע,Currency,Валюта,currencyWord
47,התאריך,Date,Дата,date
48,תאריך ושעה,Date and time,Дата и время,dateAndTime
49,תיאור מפורט,Detail description,Детальное описание,detDescription
50,משך (בתוך דקות),Duration (in minutes),Длительность (в минутах),duration
51,ערוך אירוע,Edit event,Редактировать событие,editEvent
52,ערוך פרופיל,Edit profile,Редактировать профиль,editProfile
53,אימייל,Email,Email,email
54,כבר קיים משתמש עם דואר כזה.,User with this email already exists,Пользователь с таким email уже существует,emailExist
55,תאריך סיום,End date (can be blank),Дата завершения,endDate
56,כרטיס כניסה,Entrance ticket,Входной билет,entryTicket
57,ערב אחרי 17:00,Evening after 17:00,Вечер после 17:00,eveningAfterSeventeen
58,לקנות כרטיסים,Buy a ticket,Время начала,event
59,מֶשֶׁך,Detailed information about the event was sent to you by mail.,Вы успешно зарегистрировались на мероприятие.,eventCreation
60,מידע מפורט על האירוע נשלח אליך בדואר.,Duration,Дата завершения,eventEditing
61,נרשמת בהצלחה לאירוע.,End date,Дата начала,eventLink
62,שעת התחלה,Start date,Купить билеты,eventPrice
63,תאריך ההתחלה,Start time,Подробная информация о проведении мероприятия отправлена Вам на почту.,eventsNow
64,תאריך סיום,You have successfully registered for the event.,Продолжительность,everyLinkOnNewLine
65,יצירת אירועים,Event creation,Создание события,findUs
66,עריכת אירועים,Event Editing,Редактирование события,finished
67,קישור לאירוע,Event link,Ссылка события,firstName
68,מחיר לאירוע,Event price,Цена мероприятия,forPathners
69,אירועים עכשיו,Events now,События сейчас,forYou
70,כל קישור בשורה חדשה,Each link on a new line,Каждая ссылка на новой строке,free
71,מצא אותנו,Find us,Найти нас,from
72,הושלם,Finished,Завершено,gallery
73,שם,First name,Имя,help
74,לשותפים,For partners,Партнерам,information
75,בשבילך,For you,Для вас,landing
76,בחינם,Free,Бесплатно,lang
77,מ,From,от,lastName
78,גלריה,Gallery,Внутренняя галерея мероприятия,linkWoB
79,עזרה,Help,Помощь,listOfLinkWoB
80,מידע,Information,Информация,listOfLinks
81,ארגן חופשה חלומית - בחרו את אנשי המקצוע הטובים ביותר מכל מקום בעולם.,"Become a part of an event of any scale. Choose an event, participate and find like-minded people around the world.","Zuzan - это удобная платформа мероприятий, которая сделает вашу жизнь насыщеннее.",live
82,זוזן היא פלטפורמת אירועים נוחה שתעשה את חייך עשירים יותר.,Celebrate life every day with Zuzan!,Вы можете быстро и без лишних затрат найти профессионалов и организовать мероприятие любого формата в любой точке мира или создать онлайн событие не выходя из дома и привлечь свою аудиторию.,login
83,חוויות חדשות בכל יום!,Find an event,Каждый день - праздник с Zuzan!,logout
